name,country,location_city,website,employees,revenue_usd,clutch_rating,min_project_size_usd,is_wp_specialist,kaycore_fit_score,partnership_priority,web_pct,mobile_pct,custom_pct,cluster
Proven,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJmNGU2NDI3Yi1lMjBhLTQ0MjctYTg2ZC1kZGQxNjFhMTg0YzYiLCJwcm92aWRlcl9pZCI6MzUwNTgwLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6MjM3OTU4LCJwb3NpdGlvbiI6MiwiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:j1QrJS-ihmOx-agC2aNbKofblewxz-jkx71-TdhopU4,29,4524000.0,4.912,25000,False,5,Medium,25.0,0.0,10.0,1
Storm Brain,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI0NmM0YjhiMS05NWNlLTQ1YTktYTU5ZS0yYTk2MDk2ZmI3YjkiLCJwcm92aWRlcl9pZCI6MTQ0MzUyLCJmZWF0dXJlZF9saXN0aW5nX2lkIjoyLCJmZWF0dXJlZF9wb3NpdGlvbl9pZCI6MzAzNTk5LCJwb3NpdGlvbiI6MywiaXNfc3BvdGxpZ2h0IjpmYWxzZX0:1vtqby:s9xXtiKLmJt5PZXhVRWatSonqOtpYYvjQUVzNFZMuSI,29,4524000.0,5.0124,10000,False,5,Medium,40.0,0.0,0.0,1
Cleveroad,US,"New York, NY",https://www.cleveroad.com/offer/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,4.977,10000,False,5,Medium,28.0,10.0,30.0,1
BairesDev,US,"San Francisco, CA",https://www.bairesdev.com/lp/c/software-development/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,29,4524000.0,4.962,50000,False,5,Medium,20.0,0.0,30.0,1
DRUM'N'CODE,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiIyMWMyZWEyOC0yYmJlLTQxZWYtOTY0YS1mZTkyNzZjYTZjZDQiLCJwcm92aWRlcl9pZCI6MTE1NDM1OCwiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjI1OTc1OCwicG9zaXRpb24iOjQsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:m72s2gfPFrMn86ROzOWjSzZfclMXK35NIjXy8uRpbrY,29,4524000.0,5.025,1000,False,5,Medium,30.0,10.0,30.0,1
Appunite,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiJmYzI1OGJkMy1iZjVlLTQzNWMtYTYwZC0xZTRhZDkxMmJkYTEiLCJwcm92aWRlcl9pZCI6MzMyMTgsImZlYXR1cmVkX2xpc3RpbmdfaWQiOjIsImZlYXR1cmVkX3Bvc2l0aW9uX2lkIjoyMzc2MzYsInBvc2l0aW9uIjo1LCJpc19zcG90bGlnaHQiOmZhbHNlfQ:1vtqby:GKY2oMEXafAuVI_wZW-Yz47p79GL3bXCgm2xbBDlz90,29,4524000.0,4.921,10000,False,5,Medium,20.0,0.0,20.0,1
TKX Media,US,Serves United States,https://ppc.clutch.co/ppc/click/%3Fs%3DeyJkZWNpc2lvbl9pZCI6ImQyNDJjNGE2LTU4M2ItNGZlNy1iZTUxLTQyMDI1MmYwYjRiNyIsImltcHJlc3Npb25faWQiOiI1Yjk0ZGRkYy0yMjEwLTQ2MmUtYWQ5MC01YWFiZDNkODEyMTQiLCJwcm92aWRlcl9pZCI6MjUzMTE5NCwiZmVhdHVyZWRfbGlzdGluZ19pZCI6MiwiZmVhdHVyZWRfcG9zaXRpb25faWQiOjM1MTI2MSwicG9zaXRpb24iOjYsImlzX3Nwb3RsaWdodCI6ZmFsc2V9:1vtqby:Pbyy0aQ_8jZT4XO4viM2m29VvcFTfm6hW5Mgs38koW0,29,4524000.0,5.012,5000,False,5,Medium,40.0,0.0,0.0,1
Urban Insight,US,"Los Angeles, CA",https://urbaninsight.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Dus-web-developers,29,4524000.0,5.037,50000,False,5,Medium,50.0,0.0,0.0,1
Social Driver,US,"Bellingham, WA",https://www.socialdriver.com/landing-pages/capabilities-services%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,13,2028000.0,4.975,25000,False,3,Medium,50.0,0.0,0.0,1
Orbit Media Studios,US,"Chicago, IL",https://www.orbitmedia.com/%3Futm_source%3Dclutch.co%26utm_medium%3Dreferral%26utm_campaign%3Ddirectory,29,4524000.0,5.031,50000,False,5,Medium,30.0,0.0,0.0,1
